#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T06:07:22 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T06:07:22	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/MNRAS/455/892/tablea1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_74550892
#Name: J/MNRAS/455/892
#Title: Galaxy cluster concentration-mass relation (Groener+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/mnras/455/892	    IVOID of underlying data collection
#INFO	creator=Groener A.M.	    First author or institution
#INFO	cites=bibcode:2016MNRAS.455..892G	    Article or Data origin sources
#INFO	journal=MNRA	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/MNRAS/455/892	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.74550892	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-08-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_MNRAS_455_892_tablea1:
#Name: J/MNRAS/455/892/tablea1
#Title: Cluster concentrations and masses
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Cluster	(a21)	Cluster name	[ucd=meta.id.parent]
#Column	z	(F7.4)	Redshift	[ucd=src.redshift]
#Column	RAJ2000	(A11)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Method	(A5)	Method used	[ucd=meta.note]
#Column	c200	(F5.2)	Concentration parameter c200=R200/rs	[ucd=stat.param]
#Column	E_c200	(F5.2)	? Error on c200 (upper value)	[ucd=stat.error;stat.max]
#Column	e_c200	(F5.2)	? Error on c200 (lower value)	[ucd=stat.error]
#Column	M200	(F7.3)	? Total cluster mass at radius R200	[ucd=phys.mass]
#Column	E_M200	(F7.3)	? Error on M200 (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_M200	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_M200	(F6.3)	? Error on M200 (lower value)	[ucd=stat.error]
#Column	cvir	(F5.2)	Viral concentration	[ucd=meta.note]
#Column	E_cvir	(F5.2)	? Error on cvir (upper value)	[ucd=stat.error;stat.max]
#Column	e_cvir	(F5.2)	? Error on cvir (lower value)	[ucd=stat.error]
#Column	Mvir	(F7.3)	? Virial mass	[ucd=phys.mass]
#Column	E_Mvir	(F8.3)	? Error on Mvir (upper value)	[ucd=stat.error;stat.max]
#Column	f_E_Mvir	(A1)	[-i] i for +{infinity} for upper error	[ucd=meta.code]
#Column	e_Mvir	(F6.3)	? Error on Mvir (lower value)	[ucd=stat.error]
#Column	Ref	(a36)	Reference, in refs.dat file	[ucd=meta.ref;pos.frame;meta.file]
#Column	delta	(a15)	Virial overdensity	[ucd=stat.fit.param]
#Column	Omegam	(F6.3)	Cosmological parameter, {Omega}_m_	[ucd=phys.cosmology]
#Column	Omegal	(F6.3)	Cosmological parameter, {Omega}_{lambda}_	[ucd=phys.cosmology]
#Column	h	(F6.3)	? Cosmological parameter, h	[ucd=phys.cosmology]
#Column	SimbadName	(f)	Simbad column added by the CDS	[ucd=meta.id]
recno	Cluster	z	RAJ2000	DEJ2000	Method	c200	E_c200	e_c200	M200	E_M200	f_E_M200	e_M200	cvir	E_cvir	e_cvir	Mvir	E_Mvir	f_E_Mvir	e_Mvir	Ref	delta	Omegam	Omegal	h	SimbadName
      75	Abell 1314           	 0.0334	11 34 50.50	+49 03 28.0	LOSVD	 6.52	 1.09	 2.03	  2.930	  0.520	-	 0.400	 8.57	 1.43	 2.67	  3.470	   0.620	-	 0.470	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1314
      76	Abell 1314           	 0.0334	11 34 50.50	+49 03 28.0	CM   	10.95	     	     	  1.910	       	 	      	14.23	     	     	  2.180	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1314
      77	Abell 2063           	 0.0337	15 23 01.80	+08 38 22.0	LOSVD	12.35	 1.19	 4.37	  5.210	  1.040	-	 0.670	16.02	 1.55	 5.67	  5.920	   1.180	-	 0.770	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 2063
      78	Abell 2063           	 0.0337	15 23 01.80	+08 38 22.0	X-ray	 7.36	 0.38	 0.33	 10.300	  1.940	-	 1.290	 9.82	 0.51	 0.44	 12.220	   2.300	-	 1.530	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2063
      79	Abell 2063           	 0.0337	15 23 01.80	+08 38 22.0	X-ray	 5.10	 0.30	 0.30	       	       	 	      	 6.80	 0.40	 0.40	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 2063
      80	2A 0335+096          	 0.0347	03 38 35.30	+09 57 55.0	X-ray	 8.18	18.83	 7.20	  1.400	115.500	-	 1.000	10.70	23.90	 9.30	  1.600	 175.400	-	 1.200	Voigt & Fabian (2006)               	200/2E4        	 0.300	 0.700	 0.700	2A 0335+096
      81	Abell 2052           	 0.0348	15 16 44.00	+07 01 07.0	LOSVD	 9.41	 1.48	 3.68	  2.480	  0.420	-	 0.420	12.26	 1.92	 4.80	  2.860	   0.490	-	 0.490	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 2052
      82	Abell 2052           	 0.0348	15 16 44.00	+07 01 07.0	X-ray	10.33	 1.39	 1.33	  9.120	  1.260	-	 1.720	13.66	 1.84	 1.76	 10.540	   1.460	-	 1.990	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2052
      83	Abell 2052           	 0.0348	15 16 44.00	+07 01 07.0	X-ray	 9.70	 0.70	 0.70	       	       	 	      	12.60	 0.90	 0.90	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 2052
      84	Abell 1142           	 0.0350	11 00 48.90	+10 33 35.0	LOSVD	 6.90	 2.00	 2.00	  1.920	       	 	      	 9.10	 2.50	 2.50	  2.260	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 1142
      85	Abell 1142           	 0.0350	11 00 48.90	+10 33 35.0	CM   	28.44	     	     	  3.090	       	 	      	36.47	     	     	  3.390	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1142
      86	Abell 2147           	 0.0350	16 02 18.70	+16 01 12.0	X-ray	10.46	 3.81	 4.27	 10.930	  1.270	-	 1.280	13.83	 5.04	 5.65	 12.620	   1.470	-	 1.480	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2147
      87	ESO 3060170          	 0.0358	05 40 06.60	-40 50 12.0	X-ray	 6.70	 0.80	 0.80	  1.542	  0.397	-	 0.397	 8.80	 1.00	 1.00	  1.820	   0.487	-	 0.487	Gastaldello et al. (2007b)          	2500           	 0.300	 0.700	 0.700	ESO 306-17
      88	RGH89 080            	 0.0379	13 20 24.90	+33 12 17.0	X-ray	 7.60	 0.70	 0.70	  0.241	  0.012	-	 0.012	 9.90	 0.90	 0.90	  0.282	   0.016	-	 0.016	Gastaldello et al. (2007b)          	500            	 0.300	 0.700	 0.700	[RPG97] 241
      89	MKW 9                	 0.0382	15 32 29.30	+04 40 54.0	X-ray	 5.41	 0.67	 0.67	  1.200	  0.300	-	 0.300	 7.14	 0.86	 0.86	  1.440	   0.380	-	 0.380	Pointecouteau, Arnaud & Pratt (2005)	200            	 0.300	 0.700	 0.700	MKW 9
      90	MKW 9                	 0.0382	15 32 29.30	+04 40 54.0	X-ray	 5.40	 0.70	 0.70	  1.200	       	 	      	 7.10	 0.90	 0.90	  1.440	        	 	      	Pratt & Arnaud (2005)               	200            	 0.300	 0.700	 0.700	MKW 9
      91	Abell 3571           	 0.0390	13 47 28.40	-32 50 59.0	LOSVD	 8.05	 1.46	 2.41	  9.260	  1.030	-	 1.580	10.52	 1.90	 3.15	 10.770	   1.190	-	 1.840	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 3571
      92	Abell 3571           	 0.0390	13 47 28.40	-32 50 59.0	X-ray	 8.92	 1.98	 2.10	 30.410	  3.750	-	 3.840	11.82	 2.62	 2.78	 35.490	   4.380	-	 4.480	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3571
      93	Abell 3571           	 0.0390	13 47 28.40	-32 50 59.0	X-ray	 4.90	 0.20	 0.20	       	       	 	      	 6.50	 0.30	 0.30	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 3571
      94	Abell 1139           	 0.0398	10 58 04.30	+01 29 56.0	LOSVD	 2.57	 0.37	 0.91	  1.190	  0.180	-	 0.260	 3.49	 0.50	 1.24	  1.560	   0.240	-	 0.340	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1139
      95	Abell 2657           	 0.0400	23 44 51.00	+09 08 40.0	X-ray	 5.49	 0.83	 0.81	  9.890	  2.170	-	 1.280	 7.38	 1.12	 1.09	 12.050	   2.640	-	 1.560	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2657
      96	Abell 576            	 0.0400	07 21 24.10	+55 44 20.0	LOSVD	 3.52	 0.61	 0.92	  6.470	  1.040	-	 0.810	 4.72	 0.82	 1.23	  8.150	   1.310	-	 1.020	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 576
      97	Abell 576            	 0.0400	07 21 24.10	+55 44 20.0	X-ray	 4.28	 0.83	 0.81	 21.110	  2.160	-	 1.190	 5.80	 1.12	 1.10	 26.410	   2.700	-	 1.490	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 576
      98	Abell 576            	 0.0400	07 21 24.10	+55 44 20.0	CM   	10.90	     	     	  9.510	       	 	      	14.10	     	     	 10.850	        	 	      	Rines et al. (2003)                 	200/turn       	 0.300	 0.700	      	Abell 576
      99	Abell 2589           	 0.0410	23 23 53.50	+16 48 32.0	CM   	 6.34	     	     	  0.990	       	 	      	 8.32	     	     	  1.170	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2589
     100	Abell 2589           	 0.0410	23 23 53.50	+16 48 32.0	X-ray	 4.90	 2.40	 2.40	       	       	 	      	 6.50	 3.10	 3.10	       	        	 	      	Buote & Lewis (2004)                	200            	 0.300	 0.700	 0.700	Abell 2589
     101	Abell 2589           	 0.0410	23 23 53.50	+16 48 32.0	X-ray	 6.27	 0.75	 0.72	 10.050	  1.270	-	 1.290	 8.39	 1.00	 0.96	 12.080	   1.530	-	 1.550	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2589
     102	Abell 2107           	 0.0411	15 39 38.40	+21 47 20.0	LOSVD	11.87	 1.61	 4.76	  2.420	  0.550	-	 0.380	15.36	 2.08	 6.16	  2.750	   0.630	-	 0.440	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 2107
     103	Abell 2593           	 0.0415	23 24 20.20	+14 39 04.0	LOSVD	 2.59	 0.49	 0.76	  1.570	  0.280	-	 0.200	 3.52	 0.66	 1.04	  2.070	   0.370	-	 0.270	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 2593
     104	Abell 2593           	 0.0415	23 24 20.20	+14 39 04.0	CM   	11.64	     	     	  3.440	       	 	      	15.07	     	     	  3.910	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 2593
     105	Abell 295            	 0.0424	02 02 19.90	-01 07 13.0	CM   	 1.38	     	     	  0.270	       	 	      	 1.94	     	     	  0.390	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 295
     106	Abell 160            	 0.0432	01 12 51.40	+15 30 54.0	CM   	10.14	     	     	  0.910	       	 	      	13.16	     	     	  1.040	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 160
     107	Abell 1983           	 0.0442	14 52 44.00	+16 44 46.0	LOSVD	 3.54	 0.69	 1.49	  1.190	  0.280	-	 0.260	 4.74	 0.93	 1.99	  1.500	   0.360	-	 0.330	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 1983
     108	Abell 1983           	 0.0442	14 52 44.00	+16 44 46.0	X-ray	 3.83	 0.71	 0.71	  1.590	  0.610	-	 0.610	 5.10	 0.91	 0.91	  1.970	   0.820	-	 0.820	Pointecouteau et al. (2005)         	200            	 0.300	 0.700	 0.700	Abell 1983
     109	Abell 119            	 0.0446	00 56 18.30	-01 13 00.0	LOSVD	 3.40	 0.58	 0.91	  3.970	  0.570	-	 0.590	 4.56	 0.78	 1.23	  5.020	   0.730	-	 0.750	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 119
     110	Abell 119            	 0.0446	00 56 18.30	-01 13 00.0	X-ray	 4.12	 0.25	 0.23	 24.060	  4.160	-	 2.180	 5.59	 0.34	 0.31	 30.200	   5.220	-	 2.740	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 119
     111	Abell 119            	 0.0446	00 56 18.30	-01 13 00.0	CM   	 6.29	     	     	  4.070	       	 	      	 8.25	     	     	  4.810	        	 	      	Rines et al. (2003)                 	200/turn       	 0.300	 0.700	      	Abell 119
     112	Abell 119            	 0.0446	00 56 18.30	-01 13 00.0	CM   	 2.55	     	     	  2.360	       	 	      	 3.45	     	     	  3.060	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 119
     113	Abell 119            	 0.0446	00 56 18.30	-01 13 00.0	X-ray	 3.30	 0.20	 0.20	       	       	 	      	 4.40	 0.30	 0.30	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 119
     114	Abell 3376           	 0.0450	06 01 45.70	-39 59 34.0	X-ray	 7.38	 1.01	 1.03	 26.610	  3.720	-	 2.910	 9.81	 1.34	 1.37	 31.500	   4.400	-	 3.440	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3376
     115	MKW 3S               	 0.0450	15 21 51.90	+07 42 31.0	X-ray	11.37	 2.18	 2.73	 12.020	  2.470	-	 3.190	14.96	 2.87	 3.59	 13.780	   2.830	-	 3.660	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	MKW 3S
     116	MKW 3S               	 0.0450	15 21 51.90	+07 42 31.0	X-ray	 6.40	 0.70	 0.70	       	       	 	      	 8.40	 0.90	 0.90	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	MKW 3S
     117	Abell 168            	 0.0451	01 15 12.00	+00 19 48.0	LOSVD	 5.60	 2.00	 2.00	  2.580	       	 	      	 7.40	 2.60	 2.60	  3.080	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 168
     118	Abell 168            	 0.0451	01 15 12.00	+00 19 48.0	X-ray	 7.37	 0.26	 0.27	  6.740	  2.030	-	 1.780	 9.80	 0.35	 0.36	  7.980	   2.400	-	 2.110	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 168
     119	Abell 168            	 0.0451	01 15 12.00	+00 19 48.0	CM   	 5.19	     	     	  4.300	       	 	      	 6.84	     	     	  5.170	        	 	      	Rines et al. (2003)                 	200/turn       	 0.300	 0.700	      	Abell 168
     120	Abell 168            	 0.0451	01 15 12.00	+00 19 48.0	CM   	 7.69	     	     	  2.240	       	 	      	10.03	     	     	  2.610	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 168
     121	MS 0116.3-0115       	 0.0452	01 18 53.60	-01 00 07.0	X-ray	 4.80	 1.40	 1.40	  1.055	  0.514	-	 0.514	 6.30	 1.80	 1.80	  1.283	   0.671	-	 0.671	Gastaldello et al. (2007b)          	1250           	 0.300	 0.700	 0.700	MS 0116.3-0115
     122	Abell 957            	 0.0455	10 13 40.30	-00 54 52.0	LOSVD	 9.91	 1.33	 3.46	  3.100	  0.470	-	 0.470	12.85	 1.73	 4.48	  3.560	   0.540	-	 0.540	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 957
     123	Abell 957            	 0.0455	10 13 40.30	-00 54 52.0	CM   	 8.13	     	     	  2.790	       	 	      	10.60	     	     	  3.250	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 957
     124	Abell 1736           	 0.0460	13 26 54.00	-27 11 00.0	X-ray	16.27	 4.16	 4.13	  8.110	  1.150	-	 1.180	21.26	 5.44	 5.40	  9.120	   1.290	-	 1.330	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1736
     125	Abell 1644           	 0.0470	12 57 09.70	-17 24 01.0	X-ray	15.35	 3.89	 4.17	 14.600	  1.470	-	 1.170	20.07	 5.09	 5.45	 16.470	   1.660	-	 1.320	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 1644
     126	Abell 4059           	 0.0478	23 57 02.30	-34 45 38.0	LOSVD	 2.60	 0.50	 0.70	  3.370	  0.480	-	 0.470	 3.52	 0.67	 0.95	  4.410	   0.620	-	 0.610	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 4059
     127	Abell 4059           	 0.0478	23 57 02.30	-34 45 38.0	X-ray	 9.36	 2.02	 2.01	 10.720	  0.920	-	 1.280	12.36	 2.67	 2.65	 12.450	   1.070	-	 1.490	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 4059
     128	Abell 4059           	 0.0478	23 57 02.30	-34 45 38.0	X-ray	 4.80	 0.20	 0.20	       	       	 	      	 6.30	 0.30	 0.30	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 4059
     129	Abell 3558           	 0.0480	13 27 57.50	-31 30 09.0	X-ray	 8.37	 0.78	 0.83	 21.270	  3.270	-	 2.160	11.08	 1.03	 1.10	 24.910	   3.830	-	 2.530	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3558
     130	Abell 3558           	 0.0480	13 27 57.50	-31 30 09.0	LOSVD	 1.90	 4.00	 1.20	  9.000	  0.300	-	 2.300	 2.70	 5.30	 1.70	 12.500	   3.500	-	 4.500	Lokas et al. (2006)                 	Virial         	 0.300	 0.700	 0.700	Abell 3558
     131	Abell 3558           	 0.0480	13 27 57.50	-31 30 09.0	X-ray	 4.00	 0.20	 0.20	       	       	 	      	 5.30	 0.30	 0.30	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 3558
     132	Abell 376            	 0.0484	02 45 48.50	+36 51 36.0	LOSVD	 6.29	 1.44	 2.38	  4.670	  1.340	-	 0.760	 8.25	 1.89	 3.12	  5.530	   1.580	-	 0.910	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 376
     133	SHK 352              	 0.0484	11 21 40.30	+02 53 33.0	CM   	 6.83	     	     	  4.090	       	 	      	 8.94	     	     	  4.820	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	SHK 352
     134	Abell 2717           	 0.0490	00 03 12.10	-35 55 38.0	X-ray	 6.12	 0.84	 0.81	 12.940	  2.110	-	 1.260	 8.17	 1.12	 1.08	 15.560	   2.540	-	 1.520	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2717
     135	Abell 2717           	 0.0490	00 03 12.10	-35 55 38.0	X-ray	 4.60	 0.30	 0.30	  1.510	  0.090	-	 0.090	 6.00	 0.40	 0.40	  1.842	   0.122	-	 0.122	Gastaldello et al. (2007b)          	500            	 0.300	 0.700	 0.700	Abell 2717
     136	Abell 2717           	 0.0490	00 03 12.10	-35 55 38.0	X-ray	 4.21	 0.25	 0.25	  1.570	  0.190	-	 0.190	 5.58	 0.32	 0.32	  1.920	   0.250	-	 0.250	Pointecouteau et al. (2005)         	200            	 0.300	 0.700	 0.700	Abell 2717
     137	Abell 2717           	 0.0490	00 03 12.10	-35 55 38.0	X-ray	 4.20	 0.30	 0.30	  1.570	       	 	      	 5.60	 0.40	 0.40	  1.920	        	 	      	Pratt & Arnaud (2005)               	200            	 0.300	 0.700	 0.700	Abell 2717
     138	Abell 3562           	 0.0499	13 33 36.30	-31 39 40.0	X-ray	 8.26	 0.25	 0.27	 14.050	  1.560	-	 1.460	10.93	 0.33	 0.36	 16.460	   1.830	-	 1.710	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3562
     139	Abell 3562           	 0.0499	13 33 36.30	-31 39 40.0	X-ray	 5.40	 0.80	 0.80	       	       	 	      	 7.10	 1.00	 1.00	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 3562
     140	Abell 3395           	 0.0500	06 27 14.40	-54 28 12.0	X-ray	 3.74	 0.35	 0.37	 33.670	  4.270	-	 4.120	 5.08	 0.48	 0.50	 42.700	   5.420	-	 5.220	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3395
     141	Abell 671            	 0.0503	08 28 29.30	+30 25 01.0	LOSVD	17.90	 5.50	 5.50	  5.320	       	 	      	23.00	 7.00	 7.00	  5.930	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 671
     142	Abell 671            	 0.0503	08 28 29.30	+30 25 01.0	LOSVD	11.85	 1.13	 4.63	  4.850	  0.880	-	 0.690	15.30	 1.46	 5.98	  5.510	   1.000	-	 0.780	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 671
     143	Abell 671            	 0.0503	08 28 29.30	+30 25 01.0	CM   	12.10	     	     	  4.010	       	 	      	15.61	     	     	  4.540	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 671
     144	Abell 1291A          	 0.0508	11 32 19.60	+55 58 44.0	CM   	 4.96	     	     	  1.090	       	 	      	 6.55	     	     	  1.320	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1291
     145	Abell 3391           	 0.0510	06 26 22.80	-53 41 44.0	X-ray	 9.26	 1.14	 1.36	 18.910	  1.250	-	 1.280	12.22	 1.50	 1.79	 21.970	   1.450	-	 1.490	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3391
     146	Abell 757            	 0.0514	09 12 47.30	+47 42 38.0	CM   	 2.96	     	     	  0.540	       	 	      	 3.98	     	     	  0.690	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 757
     147	Abell 1377           	 0.0515	11 46 57.90	+55 44 20.0	LOSVD	 0.90	 0.40	 0.40	  0.810	       	 	      	 1.30	 0.50	 0.50	  1.300	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 1377
     148	Abell 1377           	 0.0515	11 46 57.90	+55 44 20.0	CM   	 2.33	     	     	  1.160	       	 	      	 3.17	     	     	  1.540	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 1377
     149	Abell 117            	 0.0535	00 56 00.90	-10 01 46.0	LOSVD	 7.70	 3.10	 3.10	  2.780	       	 	      	10.00	 4.00	 4.00	  3.230	        	 	      	Abdullah et al. (2011)              	Virial         	 0.300	 0.700	      	Abell 117
     150	Hydra A              	 0.0538	09 18 05.70	-12 05 44.0	WL   	 3.32	 2.17	 1.29	  3.650	  2.170	-	 1.430	 4.52	 2.95	 1.75	  4.660	   2.770	-	 1.820	Okabe et al. (2015)                 	Virial         	 0.270	 0.730	 0.700	Hydra A
     151	Hydra A              	 0.0538	09 18 05.70	-12 05 44.0	X-ray	12.30	 0.18	 0.18	  1.020	  0.410	-	 0.410	15.90	 0.23	 0.23	  1.150	   0.470	-	 0.470	David et al. (2001)                 	200            	 0.300	 0.700	 0.700	Hydra A
     152	Abell 754            	 0.0540	09 09 08.40	-09 39 58.0	WL   	 3.74	 4.12	 4.12	  3.300	  4.770	-	 4.770	 4.97	 5.26	 5.26	  4.090	   5.390	-	 5.390	Okabe & Umetsu (2008)               	Virial         	 0.300	 0.700	 0.700	Abell 754
     153	Abell 754            	 0.0540	09 09 08.40	-09 39 58.0	X-ray	 1.02	 0.27	 0.22	 40.300	  3.710	-	 3.160	 1.49	 0.39	 0.32	 63.370	   5.830	-	 4.970	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 754
     154	Abell 978            	 0.0544	10 20 28.80	-06 31 11.0	LOSVD	 4.25	 0.86	 1.81	  4.230	  1.090	-	 0.680	 5.63	 1.13	 2.40	  5.190	   1.340	-	 0.830	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 978
     155	RXC J1022.0+3830     	 0.0546	10 22 04.70	+38 30 43.0	CM   	 5.45	     	     	  1.410	       	 	      	 7.16	     	     	  1.690	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	RXC J1022.0+3830
     156	Abell 3667           	 0.0550	20 12 30.50	-56 49 55.0	X-ray	 9.36	 1.25	 1.36	 26.840	  2.480	-	 2.460	12.33	 1.65	 1.79	 31.130	   2.880	-	 2.850	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 3667
     157	Abell 85             	 0.0557	00 41 50.10	-09 18 07.0	LOSVD	 3.12	 0.56	 0.70	  9.590	  1.380	-	 1.040	 4.18	 0.75	 0.94	 12.220	   1.760	-	 1.330	Wojtak & Lokas (2010)               	102            	 0.300	 0.700	 0.700	Abell 85
     158	Abell 85             	 0.0557	00 41 50.10	-09 18 07.0	X-ray	 3.55	 0.26	 0.22	 25.680	  4.890	-	 3.180	 4.82	 0.35	 0.30	 32.730	   6.230	-	 4.050	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 85
     159	Abell 85             	 0.0557	00 41 50.10	-09 18 07.0	CM   	 4.50	     	     	  3.360	       	 	      	 5.93	     	     	  4.080	        	 	      	Rines & Diaferio (2006)             	200            	 0.300	 0.700	      	Abell 85
     160	Abell 85             	 0.0557	00 41 50.10	-09 18 07.0	X-ray	 7.50	 0.60	 0.60	       	       	 	      	 9.80	 0.80	 0.80	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 85
     161	Sersic 159 03        	 0.0564	23 13 58.60	-42 44 02.0	X-ray	 6.16	 3.42	 2.79	  2.300	  7.900	-	 1.400	 8.05	 4.34	 3.56	  2.700	  10.000	-	 1.700	Voigt & Fabian (2006)               	200/2E4        	 0.300	 0.700	 0.700	Ser 159-3
     162	Abell 2319           	 0.0564	19 21 08.80	+43 57 30.0	X-ray	 1.28	 0.27	 0.22	 46.000	  4.570	-	 5.820	 1.83	 0.39	 0.31	 68.860	   6.840	-	 8.710	Babyk et al. (2014)                 	200            	 0.270	 0.730	 0.730	Abell 2319
     163	Abell 2319           	 0.0564	19 21 08.80	+43 57 30.0	X-ray	 5.80	 0.20	 0.20	       	       	 	      	 7.60	 0.30	 0.30	       	        	 	      	Xu et al. (2001)                    	200            	 0.300	 0.700	 0.500	Abell 2319
