#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T02:47:29 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T02:47:29	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/247/31/table1&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22470031
#Name: J/ApJS/247/31
#Title: Dark matter halo models for SPARC galaxies (Li+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/247/31	    IVOID of underlying data collection
#INFO	creator=Li P.	    First author or institution
#INFO	cites=bibcode:2020ApJS..247...31L	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2020	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/247/31	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22470031	    Dataset identifier that can be used for citation
#INFO	publication_date=2020-10-07	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_247_31_table1:
#Name: J/ApJS/247/31/table1
#Title: The best-fit parameters for the 175 SPARC galaxies
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Name	(a11)	Galaxy Name	[ucd=meta.id;meta.main]
#Column	Model	(A12)	Dark matter halo profile (1)	[ucd=meta.id;stat.fit]
#Column	Ydisk	(F5.2)	[0.1/4.3] Stellar mass-to-light ratio for disks	[ucd=phys.composition.massLightRatio]
#Column	e_Ydisk	(F5.2)	[0.01/0.6] Error on Ydisk	[ucd=stat.error]
#Column	Ybul	(F5.2)	[0/2.1] Stellar mass-to-light ratio for bulges	[ucd=phys.composition.massLightRatio]
#Column	e_Ybul	(F5.2)	[0/0.3] Error on Ybul	[ucd=stat.error]
#Column	Dist	(F6.2)	[0.02/129] Galaxy distance	[ucd=pos.distance;pos.heliocentric]
#Column	e_Dist	(F5.2)	[0.05/15.1] Error in Dist	[ucd=stat.error]
#Column	inc	(F4.1)	[5.4/90] Disk inclination	[ucd=src.orbital.inclination]
#Column	e_inc	(F4.1)	[0.6/14.3] Error in inc	[ucd=stat.error]
#Column	V200	(F6.2)	[10/500] Rotation velocity at r_200_ (2)	[ucd=phys.veloc.rotat]
#Column	e_V200	(F6.2)	[0.7/158] Error in V200	[ucd=stat.error]
#Column	C200	(F6.2)	[1/999.3] Halo concentration (2)	[ucd=meta.note]
#Column	e_C200	(F6.2)	[0.01/334.2] Error in C200	[ucd=stat.error]
#Column	rs	(F6.2)	[0.02/672] Halo scale radius	[ucd=phys.size.radius;instr.scale]
#Column	e_rs	(F8.2)	[0.01/17815] Error in rs	[ucd=stat.error]
#Column	log(rhos)	(F5.2)	[-5/3.3] Volume density of dark matter halos	[ucd=meta.bib.volume]
#Column	e_log(rhos)	(F6.2)	[0.06/271] Error in log(rhos)	[ucd=stat.error]
#Column	log(M200)	(F5.2)	[8.5/13.6] Halo mass (2)	[ucd=phys.mass]
#Column	e_log(M200)	(F5.2)	[0.02/20.3] Error in log(M200)	[ucd=stat.error]
#Column	alpha	(F5.2)	[0/2] Shape parameter for the Einasto model	[ucd=stat.param]
#Column	e_alpha	(F5.2)	[0/0.75] Error in alpha	[ucd=stat.error;pos.eq.ra]
#Column	chi2	(F5.2)	[0.02/36.6]? Reduced {Chi}^2^ (infinite when blank)	[ucd=stat.fit.chi2]
recno	Name	Model	Ydisk	e_Ydisk	Ybul	e_Ybul	Dist	e_Dist	inc	e_inc	V200	e_V200	C200	e_C200	rs	e_rs	log(rhos)	e_log(rhos)	log(M200)	e_log(M200)	alpha	e_alpha	chi2
      81	DDO161     	coreNFW-Flat	 0.44	 0.11	 0.00	 0.00	  4.13	 1.17	67.1	 9.9	 65.88	  9.01	  7.79	  2.31	 11.58	    3.79	-2.44	  0.47	10.96	 0.18	 0.00	 0.00	 0.55
      82	DDO161     	coreNFW-LCDM	 0.60	 0.13	 0.00	 0.00	  3.29	 0.53	80.3	 5.8	 52.94	  2.85	 10.92	  1.98	  6.64	    1.26	-2.09	  0.26	10.67	 0.07	 0.00	 0.00	 0.81
      83	DDO161     	Lucky13-Flat	 0.45	 0.10	 0.00	 0.00	  7.50	 1.54	69.6	 8.9	 63.55	  5.57	 10.67	  3.28	  8.16	    2.61	-1.97	  0.44	10.91	 0.11	 0.00	 0.00	 0.41
      84	DDO161     	Lucky13-LCDM	 0.46	 0.09	 0.00	 0.00	  7.80	 1.09	76.7	 6.7	 61.02	  3.01	  9.67	  1.85	  8.64	    1.71	-2.07	  0.27	10.86	 0.06	 0.00	 0.00	 0.47
      85	DDO168     	pISO-Flat   	 0.45	 0.11	 0.00	 0.00	  4.16	 0.21	56.2	 5.9	 91.44	  9.03	 55.25	  7.68	  2.27	    0.39	-1.51	  0.26	11.39	 0.13	 0.00	 0.00	 6.03
      86	DDO168     	Burkert-Flat	 0.45	 0.11	 0.00	 0.00	  4.16	 0.21	55.1	 6.0	 51.56	  5.14	 20.67	  2.21	  3.42	    0.50	-1.42	  0.23	10.64	 0.13	 0.00	 0.00	 6.06
      87	DDO168     	NFW-Flat    	 0.45	 0.10	 0.00	 0.00	  4.12	 0.21	48.9	 5.5	482.10	 92.00	  1.15	  0.79	573.47	  409.12	-4.19	  1.03	13.55	 0.25	 0.00	 0.00	14.40
      88	DDO168     	NFW-LCDM    	 0.56	 0.12	 0.00	 0.00	  4.11	 0.21	61.2	 4.8	 53.33	  2.87	  7.39	  0.85	  9.88	    1.26	-2.50	  0.18	10.68	 0.07	 0.00	 0.00	23.93
      89	DDO168     	Einasto-Flat	 0.42	 0.11	 0.00	 0.00	  4.16	 0.21	52.8	 5.9	 23.73	  2.59	 11.47	  0.94	  2.83	    0.39	-1.91	  0.23	 9.63	 0.14	 1.99	 0.20	23.93
      90	DDO168     	Einasto-LCDM	 0.46	 0.11	 0.00	 0.00	  4.12	 0.21	53.0	 5.8	 47.94	  2.85	  9.59	  0.95	  6.85	    0.79	-2.46	  0.18	10.55	 0.08	 0.66	 0.08	23.93
      91	DDO168     	DC14-Flat   	 0.49	 0.11	 0.00	 0.00	  4.16	 0.21	55.4	 5.6	 53.19	  5.57	 26.50	  2.86	  2.75	    0.41	-1.64	  0.20	10.68	 0.14	 0.00	 0.00	 6.09
      92	DDO168     	DC14-LCDM   	 0.50	 0.11	 0.00	 0.00	  4.27	 0.20	63.1	 4.8	 49.12	  2.46	 23.21	  1.95	  2.90	    0.28	-1.79	  0.12	10.58	 0.07	 0.00	 0.00	 7.00
      93	DDO168     	coreNFW-Flat	 0.45	 0.11	 0.00	 0.00	  4.04	 0.21	44.6	 4.8	 61.82	 13.21	 13.84	  2.92	  6.12	    1.84	-1.83	  0.48	10.88	 0.28	 0.00	 0.00	 6.60
      94	DDO168     	coreNFW-LCDM	 0.48	 0.11	 0.00	 0.00	  4.02	 0.21	51.8	 4.0	 49.31	  2.71	 14.19	  1.86	  4.76	    0.68	-1.80	  0.20	10.58	 0.07	 0.00	 0.00	 8.55
      95	DDO168     	Lucky13-Flat	 0.47	 0.11	 0.00	 0.00	  4.16	 0.21	56.4	 6.0	 77.30	 11.96	 18.92	  2.42	  5.60	    1.12	-1.38	  0.33	11.17	 0.20	 0.00	 0.00	 7.29
      96	DDO168     	Lucky13-LCDM	 0.55	 0.12	 0.00	 0.00	  4.21	 0.20	65.6	 4.9	 52.91	  2.75	 18.78	  1.65	  3.86	    0.39	-1.39	  0.15	10.67	 0.07	 0.00	 0.00	10.24
      97	DDO170     	pISO-Flat   	 0.49	 0.12	 0.00	 0.00	 13.43	 4.06	65.2	 7.2	 63.50	  5.53	 47.60	 35.27	  1.83	    1.36	-1.64	  1.03	10.91	 0.11	 0.00	 0.00	 2.45
      98	DDO170     	Burkert-Flat	 0.51	 0.13	 0.00	 0.00	 11.23	 4.02	64.5	 7.3	 41.78	  4.05	 19.11	  8.09	  2.99	    1.30	-1.51	  0.58	10.37	 0.13	 0.00	 0.00	 2.70
      99	DDO170     	NFW-Flat    	 0.49	 0.13	 0.00	 0.00	 15.70	 3.98	65.2	 6.9	 55.27	  4.71	  5.52	  2.02	 13.71	    5.16	-2.79	  0.51	10.73	 0.11	 0.00	 0.00	 4.32
     100	DDO170     	NFW-LCDM    	 0.50	 0.12	 0.00	 0.00	 12.09	 2.56	66.0	 6.2	 52.59	  3.53	  7.51	  1.68	  9.59	    2.24	-2.48	  0.32	10.67	 0.09	 0.00	 0.00	 4.44
     101	DDO170     	Einasto-Flat	 0.52	 0.12	 0.00	 0.00	 12.89	 4.06	63.7	 7.0	 38.34	  9.62	  8.35	  2.80	  6.29	    2.63	-2.72	  0.65	10.25	 0.33	 0.53	 0.18	 4.44
     102	DDO170     	Einasto-LCDM	 0.48	 0.12	 0.00	 0.00	  8.85	 2.94	63.2	 7.1	 47.46	  4.99	 10.07	  3.10	  6.46	    2.10	-2.69	  0.45	10.53	 0.14	 0.28	 0.04	 4.44
     103	DDO170     	DC14-Flat   	 0.48	 0.13	 0.00	 0.00	 10.91	 3.95	64.4	 7.2	 45.69	  3.94	 23.36	 11.25	  2.68	    1.31	-1.77	  0.49	10.48	 0.11	 0.00	 0.00	 2.53
     104	DDO170     	DC14-LCDM   	 0.45	 0.11	 0.00	 0.00	 16.87	 3.17	54.3	 5.3	 53.10	  3.98	 16.08	  3.24	  4.52	    0.97	-2.14	  0.23	10.68	 0.10	 0.00	 0.00	 3.05
     105	DDO170     	coreNFW-Flat	 0.50	 0.12	 0.00	 0.00	 13.41	 4.17	63.9	 7.1	 45.13	  5.47	 12.02	  9.08	  5.14	    3.93	-1.98	  1.02	10.47	 0.16	 0.00	 0.00	 3.14
     106	DDO170     	coreNFW-LCDM	 0.46	 0.11	 0.00	 0.00	 15.47	 2.54	55.7	 5.9	 53.25	  3.94	  9.46	  2.37	  7.71	    2.02	-2.24	  0.36	10.68	 0.10	 0.00	 0.00	 3.55
     107	DDO170     	Lucky13-Flat	 0.49	 0.12	 0.00	 0.00	 12.86	 4.04	63.5	 7.4	 48.00	  4.14	 19.39	  6.93	  3.39	    1.25	-1.35	  0.50	10.55	 0.11	 0.00	 0.00	 2.79
     108	DDO170     	Lucky13-LCDM	 0.44	 0.11	 0.00	 0.00	 16.48	 3.07	58.9	 5.8	 52.91	  3.86	 15.37	  2.62	  4.72	    0.87	-1.60	  0.26	10.67	 0.09	 0.00	 0.00	 3.36
     109	ESO079-G014	pISO-Flat   	 0.51	 0.11	 0.00	 0.00	 26.11	 5.75	78.3	 4.9	192.19	  9.70	 60.66	 22.70	  4.34	    1.64	-1.43	  0.52	12.35	 0.07	 0.00	 0.00	 1.61
     110	ESO079-G014	Burkert-Flat	 0.46	 0.10	 0.00	 0.00	 23.62	 6.03	78.2	 5.0	111.49	  6.24	 23.97	  6.71	  6.37	    1.82	-1.25	  0.38	11.64	 0.07	 0.00	 0.00	 1.15
     111	ESO079-G014	NFW-Flat    	 0.59	 0.12	 0.00	 0.00	 32.78	 5.51	79.8	 4.6	253.17	 80.39	  2.99	  1.33	116.01	   63.49	-3.38	  0.84	12.71	 0.41	 0.00	 0.00	 4.68
     112	ESO079-G014	NFW-LCDM    	 0.57	 0.11	 0.00	 0.00	 31.56	 4.21	78.7	 4.9	198.90	 22.56	  4.41	  0.89	 61.74	   14.28	-3.01	  0.34	12.40	 0.15	 0.00	 0.00	 4.90
     113	ESO079-G014	Einasto-Flat	 0.45	 0.10	 0.00	 0.00	 23.15	 6.05	78.6	 4.9	 69.09	  6.60	 11.73	  2.76	  8.07	    2.05	-1.99	  0.36	11.02	 0.12	 1.28	 0.24	 4.90
     114	ESO079-G014	Einasto-LCDM	 0.48	 0.12	 0.00	 0.00	 23.52	 4.98	77.9	 5.0	109.75	 19.94	 10.28	  2.22	 14.62	    4.12	-2.48	  0.44	11.62	 0.24	 0.48	 0.08	 4.90
     115	ESO079-G014	DC14-Flat   	 0.45	 0.11	 0.00	 0.00	  9.42	 3.34	78.7	 5.0	112.90	  7.91	 65.22	 21.88	  2.37	    0.81	-0.68	  0.35	11.66	 0.09	 0.00	 0.00	 0.97
     116	ESO079-G014	DC14-LCDM   	 0.54	 0.13	 0.00	 0.00	 31.31	 4.18	79.3	 4.9	170.34	 17.53	  9.37	  2.41	 24.92	    6.92	-2.52	  0.30	12.20	 0.13	 0.00	 0.00	 3.78
     117	ESO079-G014	coreNFW-Flat	 0.46	 0.11	 0.00	 0.00	 23.42	 5.98	78.8	 4.9	105.76	  7.29	 29.69	 10.74	  4.88	    1.80	-0.98	  0.49	11.58	 0.09	 0.00	 0.00	 1.48
     118	ESO079-G014	coreNFW-LCDM	 0.49	 0.11	 0.00	 0.00	 32.80	 3.85	79.3	 4.7	130.76	 11.19	 10.99	  2.90	 16.29	    4.52	-2.08	  0.38	11.85	 0.11	 0.00	 0.00	 2.38
     119	ESO079-G014	Lucky13-Flat	 0.50	 0.11	 0.00	 0.00	 24.89	 6.18	79.2	 5.0	135.01	  7.74	 23.48	  6.71	  7.88	    2.30	-1.14	  0.39	11.89	 0.07	 0.00	 0.00	 2.11
     120	ESO079-G014	Lucky13-LCDM	 0.49	 0.10	 0.00	 0.00	 36.33	 4.37	79.7	 4.6	142.65	  8.53	 14.78	  2.36	 13.22	    2.25	-1.64	  0.24	11.97	 0.08	 0.00	 0.00	 2.39
     121	ESO116-G012	pISO-Flat   	 0.55	 0.12	 0.00	 0.00	 14.15	 3.35	74.0	 3.0	120.97	  4.26	 66.74	 40.07	  2.48	    1.49	-1.35	  0.83	11.75	 0.05	 0.00	 0.00	 1.27
     122	ESO116-G012	Burkert-Flat	 0.52	 0.11	 0.00	 0.00	 14.37	 3.24	74.2	 3.0	 69.89	  5.01	 22.71	  7.48	  4.22	    1.42	-1.31	  0.45	11.04	 0.09	 0.00	 0.00	 0.98
     123	ESO116-G012	NFW-Flat    	 0.47	 0.10	 0.00	 0.00	 12.91	 3.18	73.8	 3.0	118.82	 26.23	  7.41	  3.06	 21.97	   10.29	-2.49	  0.68	11.73	 0.29	 0.00	 0.00	 3.02
     124	ESO116-G012	NFW-LCDM    	 0.39	 0.07	 0.00	 0.00	 18.54	 2.67	75.0	 2.9	 99.57	  5.81	  6.74	  1.26	 20.24	    3.96	-2.59	  0.27	11.50	 0.08	 0.00	 0.00	 3.82
     125	ESO116-G012	Einasto-Flat	 0.52	 0.12	 0.00	 0.00	 15.29	 3.29	74.2	 3.0	 47.48	  8.21	 10.30	  2.74	  6.32	    2.01	-2.21	  0.48	10.53	 0.23	 1.08	 0.36	 3.82
     126	ESO116-G012	Einasto-LCDM	 0.46	 0.11	 0.00	 0.00	 10.91	 2.74	73.7	 3.0	 71.43	  6.62	 12.31	  2.74	  7.95	    1.92	-2.35	  0.34	11.06	 0.12	 0.38	 0.04	 3.82
     127	ESO116-G012	DC14-Flat   	 0.48	 0.11	 0.00	 0.00	 10.33	 2.40	74.1	 3.0	 75.33	  4.86	 33.62	 11.58	  3.07	    1.08	-1.32	  0.35	11.13	 0.08	 0.00	 0.00	 0.85
     128	ESO116-G012	DC14-LCDM   	 0.45	 0.09	 0.00	 0.00	 17.01	 2.25	75.1	 2.9	 86.87	  4.92	 15.62	  3.24	  7.62	    1.64	-2.06	  0.22	11.32	 0.07	 0.00	 0.00	 1.42
     129	ESO116-G012	coreNFW-Flat	 0.52	 0.11	 0.00	 0.00	 13.69	 3.01	73.9	 3.0	 68.56	  7.07	 22.12	 10.63	  4.25	    2.09	-1.31	  0.66	11.01	 0.13	 0.00	 0.00	 0.91
     130	ESO116-G012	coreNFW-LCDM	 0.53	 0.10	 0.00	 0.00	 16.89	 2.12	74.2	 2.9	 83.58	  4.65	 10.97	  2.08	 10.44	    2.06	-2.08	  0.27	11.27	 0.07	 0.00	 0.00	 1.13
     131	ESO116-G012	Lucky13-Flat	 0.50	 0.12	 0.00	 0.00	 12.32	 3.42	74.0	 3.0	 80.03	  7.03	 29.06	 11.91	  3.77	    1.58	-0.91	  0.56	11.21	 0.11	 0.00	 0.00	 1.24
     132	ESO116-G012	Lucky13-LCDM	 0.51	 0.08	 0.00	 0.00	 20.19	 2.61	74.6	 2.9	 91.52	  5.47	 15.31	  2.83	  8.19	    1.59	-1.60	  0.27	11.39	 0.08	 0.00	 0.00	 1.48
     133	ESO444-G084	pISO-Flat   	 0.51	 0.13	 0.00	 0.00	  4.79	 0.48	30.7	 6.2	 73.25	 18.45	131.53	 51.53	  0.76	    0.36	-0.76	  0.71	11.10	 0.33	 0.00	 0.00	 2.74
     134	ESO444-G084	Burkert-Flat	 0.54	 0.14	 0.00	 0.00	  4.85	 0.48	32.7	 6.5	 37.18	  6.01	 32.54	  8.53	  1.57	    0.48	-0.90	  0.46	10.21	 0.21	 0.00	 0.00	 3.98
     135	ESO444-G084	NFW-Flat    	 0.51	 0.13	 0.00	 0.00	  4.93	 0.48	34.5	 5.9	 78.81	 54.78	  7.15	  3.12	 15.10	   12.39	-2.53	  1.41	11.19	 0.91	 0.00	 0.00	 1.49
     136	ESO444-G084	NFW-LCDM    	 0.52	 0.12	 0.00	 0.00	  4.83	 0.46	42.1	 3.6	 44.52	  2.68	  9.60	  1.57	  6.35	    1.11	-2.22	  0.24	10.45	 0.08	 0.00	 0.00	 4.71
     137	ESO444-G084	Einasto-Flat	 0.51	 0.13	 0.00	 0.00	  4.90	 0.48	32.9	 6.1	 50.14	 30.74	 11.13	  4.71	  6.17	    4.60	-2.53	  1.27	10.60	 0.80	 0.32	 0.15	 4.71
     138	ESO444-G084	Einasto-LCDM	 0.51	 0.13	 0.00	 0.00	  4.67	 0.48	32.8	 4.5	 42.64	  2.74	 13.05	  2.43	  4.48	    0.88	-2.31	  0.27	10.39	 0.08	 0.34	 0.05	 4.71
     139	ESO444-G084	DC14-Flat   	 0.49	 0.13	 0.00	 0.00	  4.90	 0.48	36.5	 6.6	114.15	 76.41	  4.53	  2.98	 34.52	   32.41	-2.99	  1.26	11.68	 0.87	 0.00	 0.00	 1.96
     140	ESO444-G084	DC14-LCDM   	 0.61	 0.19	 0.00	 0.00	  5.59	 0.46	45.0	 5.4	 43.08	  2.97	 20.54	  4.85	  2.87	    0.71	-1.91	  0.26	10.41	 0.09	 0.00	 0.00	 5.07
     141	ESO444-G084	coreNFW-Flat	 0.54	 0.14	 0.00	 0.00	  5.14	 0.45	39.5	 5.1	 57.01	 70.10	  7.99	  6.08	  9.78	   14.14	-2.42	  2.48	10.77	 1.60	 0.00	 0.00	 1.21
     142	ESO444-G084	coreNFW-LCDM	 0.57	 0.14	 0.00	 0.00	  5.05	 0.44	40.7	 3.7	 43.93	  2.68	 10.89	  2.25	  5.53	    1.19	-2.09	  0.30	10.43	 0.08	 0.00	 0.00	 1.57
     143	ESO444-G084	Lucky13-Flat	 0.51	 0.13	 0.00	 0.00	  4.79	 0.48	30.6	 6.2	 45.74	  7.76	 38.86	 10.08	  1.61	    0.50	-0.59	  0.46	10.48	 0.22	 0.00	 0.00	 1.38
     144	ESO444-G084	Lucky13-LCDM	 0.60	 0.16	 0.00	 0.00	  5.39	 0.44	44.6	 4.6	 44.15	  2.78	 19.53	  3.93	  3.10	    0.65	-1.34	  0.29	10.44	 0.08	 0.00	 0.00	 2.29
     145	ESO563-G021	pISO-Flat   	 0.55	 0.08	 0.00	 0.00	 55.88	 7.61	83.1	 2.9	311.70	  7.21	 93.67	 17.21	  4.56	    0.84	-1.06	  0.26	12.98	 0.03	 0.00	 0.00	12.37
     146	ESO563-G021	Burkert-Flat	 0.30	 0.07	 0.00	 0.00	 32.21	 8.85	82.8	 3.0	163.95	 11.59	 53.74	 14.82	  4.18	    1.19	-0.32	  0.38	12.15	 0.09	 0.00	 0.00	 8.41
     147	ESO563-G021	NFW-Flat    	 0.78	 0.09	 0.00	 0.00	 71.13	 7.62	83.7	 2.8	497.10	 39.32	  1.76	  0.45	387.93	  105.09	-3.85	  0.39	13.59	 0.10	 0.00	 0.00	19.15
     148	ESO563-G021	NFW-LCDM    	 0.96	 0.12	 0.00	 0.00	 56.54	 6.34	83.3	 2.9	451.09	 42.53	  2.68	  0.52	230.66	   49.94	-3.48	  0.32	13.47	 0.12	 0.00	 0.00	19.23
     149	ESO563-G021	Einasto-Flat	 0.23	 0.06	 0.00	 0.00	 34.05	 9.54	82.5	 3.0	109.64	 10.38	 22.17	  5.57	  6.78	    1.82	-1.21	  0.37	11.62	 0.12	 1.10	 0.06	19.23
     150	ESO563-G021	Einasto-LCDM	 0.21	 0.04	 0.00	 0.00	 40.64	 8.08	82.5	 3.0	116.62	  7.66	 19.65	  3.04	  8.13	    1.37	-1.37	  0.24	11.70	 0.09	 1.06	 0.06	19.23
     151	ESO563-G021	DC14-Flat   	 0.89	 0.10	 0.00	 0.00	 71.07	 7.29	83.3	 2.8	452.48	 33.71	  5.36	  0.80	115.59	   19.33	-3.16	  0.19	13.47	 0.10	 0.00	 0.00	17.88
     152	ESO563-G021	DC14-LCDM   	 0.12	 0.02	 0.00	 0.00	 37.43	 4.98	81.7	 3.2	206.90	  5.64	 63.67	  7.61	  4.45	    0.55	-0.71	  0.12	12.45	 0.04	 0.00	 0.00	 8.17
     153	ESO563-G021	coreNFW-Flat	 0.42	 0.08	 0.00	 0.00	 50.85	 8.14	82.9	 3.0	168.57	  6.67	 55.65	  9.99	  4.15	    0.76	-0.25	  0.25	12.18	 0.05	 0.00	 0.00	12.81
     154	ESO563-G021	coreNFW-LCDM	 0.40	 0.07	 0.00	 0.00	 66.21	 6.98	83.3	 2.8	178.97	  4.93	 39.91	  4.99	  6.14	    0.79	-0.64	  0.17	12.26	 0.04	 0.00	 0.00	13.04
     155	ESO563-G021	Lucky13-Flat	 0.49	 0.08	 0.00	 0.00	 56.08	 8.01	83.0	 2.9	204.85	  6.75	 32.57	  5.39	  8.62	    1.45	-0.78	  0.23	12.44	 0.04	 0.00	 0.00	13.86
     156	ESO563-G021	Lucky13-LCDM	 0.46	 0.07	 0.00	 0.00	 66.09	 6.95	83.4	 2.8	211.05	  5.43	 27.51	  2.99	 10.51	    1.17	-0.97	  0.15	12.48	 0.03	 0.00	 0.00	13.93
     157	F561-1     	pISO-Flat   	 0.50	 0.13	 0.00	 0.00	 67.32	10.00	19.1	 7.3	 51.53	 77.15	 70.55	284.53	  1.00	    4.30	-1.30	  6.20	10.64	 1.95	 0.00	 0.00	 1.14
     158	F561-1     	Burkert-Flat	 0.49	 0.13	 0.00	 0.00	 67.22	 9.96	20.2	 7.0	 30.68	 33.61	 19.43	296.87	  2.16	   33.12	-1.49	 20.20	 9.96	 1.43	 0.00	 0.00	 0.68
     159	F561-1     	NFW-Flat    	 0.51	 0.13	 0.00	 0.00	 66.27	10.01	21.1	 6.7	 33.24	 47.21	  9.15	296.89	  4.98	  161.55	-2.27	 43.11	10.07	 1.85	 0.00	 0.00	 1.33
     160	F561-1     	NFW-LCDM    	 0.49	 0.13	 0.00	 0.00	 66.39	10.14	13.6	 1.8	 75.54	  6.19	  8.78	  2.26	 11.79	    3.18	-2.32	  0.37	11.14	 0.11	 0.00	 0.00	 1.21
     161	F561-1     	Einasto-Flat	 0.49	 0.13	 0.00	 0.00	 68.49	10.00	18.8	 6.1	 23.72	 50.50	  8.19	282.69	  3.97	  137.29	-2.35	 45.16	 9.63	 2.77	 1.95	 0.60	 1.21
     162	F561-1     	Einasto-LCDM	 0.48	 0.13	 0.00	 0.00	 64.69	10.11	12.1	 1.8	 74.56	  6.30	 12.20	  3.73	  8.37	    2.66	-2.60	  0.43	11.12	 0.11	 0.17	 0.07	 1.21
     163	F561-1     	DC14-Flat   	 0.46	 0.13	 0.00	 0.00	 63.37	 9.90	15.9	 7.0	 55.73	 41.19	 13.49	295.17	  5.66	  123.95	-2.02	 21.29	10.74	 0.96	 0.00	 0.00	 0.95
     164	F561-1     	DC14-LCDM   	 0.52	 0.13	 0.00	 0.00	 70.41	 9.64	15.2	 2.6	 75.45	  6.01	 10.55	  2.94	  9.80	    2.84	-2.44	  0.30	11.14	 0.10	 0.00	 0.00	 3.35
     165	F561-1     	coreNFW-Flat	 0.49	 0.12	 0.00	 0.00	 64.34	10.02	19.4	 7.1	 31.61	 27.24	114.08	284.89	  0.38	    1.00	 0.59	  3.63	10.00	 1.12	 0.00	 0.00	 0.99
     166	F561-1     	coreNFW-LCDM	 0.50	 0.13	 0.00	 0.00	 66.81	 9.93	15.5	 1.8	 75.29	  6.19	  8.10	  2.23	 12.74	    3.65	-2.40	  0.40	11.13	 0.11	 0.00	 0.00	 4.58
     167	F561-1     	Lucky13-Flat	 0.50	 0.13	 0.00	 0.00	 66.74	10.00	19.9	 6.7	 34.38	 31.37	 22.50	271.11	  2.09	   25.28	-1.19	 16.00	10.11	 1.19	 0.00	 0.00	 0.92
     168	F561-1     	Lucky13-LCDM	 0.52	 0.13	 0.00	 0.00	 67.41	 9.90	19.1	 2.9	 75.50	  6.29	  8.96	  2.80	 11.55	    3.74	-2.15	  0.45	11.14	 0.11	 0.00	 0.00	 6.78
     169	F563-1     	pISO-Flat   	 0.50	 0.13	 0.00	 0.00	 47.40	10.02	24.3	 5.2	118.17	 41.62	 76.78	 42.94	  2.11	    1.39	-1.23	  1.01	11.72	 0.46	 0.00	 0.00	 0.70
     170	F563-1     	Burkert-Flat	 0.49	 0.12	 0.00	 0.00	 47.61	 9.96	24.6	 5.2	 71.53	 17.68	 24.47	  8.46	  4.00	    1.70	-1.23	  0.64	11.07	 0.32	 0.00	 0.00	 0.70
     171	F563-1     	NFW-Flat    	 0.50	 0.13	 0.00	 0.00	 48.44	 9.92	24.3	 5.4	100.06	 30.62	  7.90	  3.43	 17.35	    9.21	-2.43	  0.81	11.50	 0.40	 0.00	 0.00	 1.34
     172	F563-1     	NFW-LCDM    	 0.54	 0.13	 0.00	 0.00	 51.03	 8.56	31.5	 2.8	 70.67	  5.44	  7.41	  1.48	 13.07	    2.80	-2.49	  0.30	11.05	 0.10	 0.00	 0.00	 1.47
     173	F563-1     	Einasto-Flat	 0.50	 0.13	 0.00	 0.00	 50.75	 9.98	24.0	 5.3	 61.46	 22.97	 10.44	  3.19	  8.07	    3.89	-2.37	  0.81	10.87	 0.49	 0.63	 0.25	 1.47
     174	F563-1     	Einasto-LCDM	 0.53	 0.13	 0.00	 0.00	 45.69	 9.38	26.6	 3.3	 67.15	  5.94	 10.08	  2.17	  9.13	    2.12	-2.60	  0.33	10.98	 0.12	 0.37	 0.08	 1.47
     175	F563-1     	DC14-Flat   	 0.48	 0.12	 0.00	 0.00	 47.77	 9.77	22.5	 4.6	 86.14	 19.16	 32.33	 10.98	  3.65	    1.48	-1.43	  0.49	11.31	 0.29	 0.00	 0.00	 0.69
     176	F563-1     	DC14-LCDM   	 0.54	 0.14	 0.00	 0.00	 59.73	 7.53	30.2	 2.5	 71.24	  5.17	 13.48	  2.80	  7.24	    1.59	-2.24	  0.23	11.06	 0.09	 0.00	 0.00	 0.98
     177	F563-1     	coreNFW-Flat	 0.49	 0.12	 0.00	 0.00	 47.54	10.02	25.1	 5.2	 67.47	 15.12	 33.72	 14.06	  2.74	    1.30	-0.83	  0.69	10.99	 0.29	 0.00	 0.00	 0.84
