#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T10:45:39 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T10:45:39	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/217/32/cvrhs&-out=Name,P1T,P2T,%3CT%3E,%3CF%3E,%3CType%3E,AC,_RA,_DE&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22170032
#Name: J/ApJS/217/32
#Title: S4G galaxy morphologies in the CVRHS system (Buta+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/217/32	    IVOID of underlying data collection
#INFO	creator=Buta R.J.	    First author or institution
#INFO	cites=bibcode:2015ApJS..217...32B	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/217/32	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22170032	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-27	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_217_32_cvrhs:
#Name: J/ApJS/217/32/cvrhs
#Title: CVRHS (Comprehensive de Vaucouleurs  revised Hubble-Sandage) classifications for 2412  S^4^G galaxies, plus arm classification
#Column	Name	(A10)	Galaxy identifier (G1)	[ucd=meta.id;meta.main]
#Column	P1T	(a45)	Phase 1 type (1)	[ucd=src.morph.type]
#Column	P2T	(a45)	Phase 2 type (1)	[ucd=src.morph.type]
#Column	<T>	(F4.1)	[-5/11]? Unweighted average numerical T index (3)	[ucd=src.morph.type]
#Column	<F>	(F5.2)	[0/1]? Unweighted average numerical F index (3)	[ucd=src.morph.type]
#Column	<Type>	(a57)	Unweighted average classification type (3)	[ucd=src.morph.type]
#Column	AC	(A1)	[FGM] Arm class (4)	[ucd=meta.code;src.morph]
#Column	_RA	(F9.5)	Positions from SIMBAD (right ascension part)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Positions from SIMBAD (declination part)	[ucd=pos.eq.dec;meta.main]
Name	P1T	P2T	<T>	<F>	<Type>	AC	_RA	_DE
PGC 7109  	dS0 ,N /Sph                                  	SA(rs)bc: / Sph                              	 4.0	 0.00	SA(rs)bc: / Sph                                          	 	028.71917	-13.65417
ESO 477-16	SBb sp or S(l)b sp                           	Sbc sp                                       	 3.5	 1.00	SB:(l:)\underline{b}c sp                                 	 	029.06663	-22.90113
NGC 755   	SB(r\underline{s})d                          	SB(rs)d                                      	 7.0	 1.00	SB(rs)d                                                  	F	029.09452	-09.06143
PGC 7324  	SB(s)m sp                                    	Sd sp                                        	 8.0	 1.00	SB:(s:)dm sp                                             	 	029.24625	-11.78139
NGC 772   	SA(l,s)ab pec                                	SA(rs)b pec                                  	 2.5	 0.00	SA(rs)a\underline{b} pec                                 	M	029.83159	+19.00754
NGC 779   	(L)S\underline{A}B_x(rs)a                    	SA(\underline{r}s)a                          	 1.0	 0.12	(L)SA_x_(rs)a                                            	 	029.92760	-05.96415
PGC 7654  	dIABm/dSph                                   	dIABm / Sph                                  	10.0	 0.50	dIABm / Sph                                              	 	030.22958	-08.84083
UGC 1500  	SBdm: sp                                     	Sd spw / E(d)7                               	 7.5	 1.00	SB:\underline{d}m: spw / E(d)7                           	 	030.30085	+19.67530
NGC 784   	SBm: sp                                      	dIm sp / Sph                                 	 9.5	 1.00	S/IB:m: sp / Sph                                         	 	030.32055	+28.83726
PGC 7682  	Sd sp                                        	Sdm: sp                                      	 7.5	     	S\underline{d}m: sp                                      	 	030.37635	-07.29191
UGC 1547  	SAB(s)m                                      	SA(s)m                                       	 9.0	 0.25	S\underline{A}B(s)m                                      	F	030.83467	+22.04133
UGC 1551  	SB(rs)cd                                     	SAB(rs)c                                     	 5.5	 0.75	SA\underline{B}(rs)\underline{c}d                        	F	030.90623	+24.07552
NGC 803   	SAB(s)bc                                     	SA(r\underline{s})bc                         	 4.0	 0.25	S\underline{A}B(s)bc                                     	M	030.93625	+16.03096
PGC 7900  	SB(s)dm                                      	SB(s)dm                                      	 8.0	 1.00	SB(s)dm                                                  	F	031.12958	-06.19944
PGC 7998  	IB(s)m                                       	Im                                           	10.0	 1.00	IB:(s:)m                                                 	 	031.45450	-09.82156
IC 210    	SB(s)m sp                                    	SB(s)d sp                                    	 8.0	 1.00	SB(s)dm sp                                               	 	032.36761	-09.68004
PGC 8295  	SB(s)dm sp                                   	SAB(s)dm                                     	 8.0	 0.75	SA\underline{B}(s)dm sp                                  	F	032.56017	-09.71103
NGC 814   	SAB0^-^:                                     	E4-5:                                        	-4.0	     	E^+^4-5:                                                 	 	032.65670	-15.77362
ESO 298-15	SB(s)d                                       	SAB(s)dm                                     	 7.5	 0.75	SA\underline{B}(s)\underline{d}m                         	F	032.66212	-40.91808
UGC 1670  	SAB(s)m                                      	SAB(s)m                                      	 9.0	 0.50	SAB(s)m                                                  	F	032.68329	+06.75878
ESO 544-27	S0^o^[d] sp                                  	S0^-^[d]/ E(d)6-7                            	-2.5	     	S0^{-/o}^[d] sp / E(d)6-7                                	 	033.22768	-19.31692
NGC 855   	SA0^-^                                       	SA0^-^ pec(dbl. nuc.)                        	-3.0	 0.00	SA0^-^ pec                                               	 	033.51505	+27.87717
ESO 298-23	SAB(s)m:                                     	I\underline{A}Bm                             	 9.5	 0.38	S/IAB(s:)m:                                              	F	033.61458	-39.18611
ESO 544-30	SAB(s)m                                      	S\underline{A}B(s)m                          	 9.0	 0.38	SAB(s)m                                                  	F	033.73721	-20.21161
NGC 864   	SA\underline{B}(r\underline{s})bc            	SAB(r\underline{s})bc                        	 4.0	 0.62	SAB(r\underline{s})bc                                    	M	033.86517	+06.00262
IC 217    	Sd sp                                        	Sm sp                                        	 8.0	     	Sdm sp                                                   	 	034.04348	-11.92670
NGC 865   	SAB(s)b: sp                                  	SAB(s)bc pec                                 	 3.5	 0.50	SAB(s)\underline{b}c: sp pec                             	 	034.06295	+28.59973
UGC 1753  	Sm:                                          	SAB(s)dm                                     	 8.5	 0.50	SAB:(s:)d\underline{m}:                                  	F	034.13450	+28.20594
ESO 545-2 	SA(s)m /Sph                                  	SA(s)d                                       	 8.0	 0.00	SA(s)dm                                                  	F	034.81125	-18.93222
ESO 545-3 	SB(s)d: sp                                   	Sm: sp                                       	 8.0	 1.00	SB:(s:)dm: sp                                            	 	034.87230	-21.43559
ESO 545-5 	Sab sp pec                                   	Sb: pec sp                                   	 2.5	     	Sa\underline{b}: sp pec                                  	 	035.02543	-19.75071
UGC 1803  	Sdm: sp                                      	Sd sp                                        	 7.5	     	S\underline{d}m: sp                                      	 	035.12142	+06.81042
PGC 8962  	IBm: sp                                      	Sm sp                                        	 9.5	 1.00	S/IB:m: sp                                               	 	035.36917	-04.41278
NGC 895   	S\underline{A}B(\underline{r}s)c             	S\underline{A}B(rs)c                         	 5.0	 0.25	S\underline{A}B(rs)c                                     	M	035.40196	-05.52139
NGC 899   	SA(s)m                                       	S\underline{A}B(s)dm                         	 8.5	 0.12	SA(s)d\underline{m}                                      	F	035.47140	-20.82323
IC 223    	IBm                                          	IAB(s)m                                      	10.0	 0.75	IA\underline{B}(s:)m                                     	 	035.50346	-20.74522
UGC 1839  	Sm: sp                                       	Sdm sp                                       	 8.5	     	Sd\underline{m}: sp                                      	 	035.62492	-00.61786
NGC 907   	SB(s)m pec                                   	SB(s)m pec                                   	 9.0	 1.00	SB(s)m pec                                               	F	035.76224	-20.71184
NGC 908   	SA(rs)b                                      	SA(r\underline{s})b                          	 3.0	 0.00	SA(rs)b                                                  	M	035.76904	-21.23385
UGC 1862  	(R')SA(s)b:                                  	(R')SA(s)d                                   	 5.0	 0.00	(R')SA(s)c:                                              	F	036.10332	-02.16237
NGC 918   	SAB(s)cd                                     	SAB(s)cd                                     	 6.0	 0.50	SAB(s)cd                                                 	M	036.45927	+18.49893
ESO 545-16	(R)SAm                                       	(R')SA(s)d                                   	 8.0	 0.00	(R)SA(s:)dm                                              	F	036.49937	-21.42161
PGC 9272  	SB(s)d                                       	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	 	036.58875	-09.84083
ESO 479-4 	SB(r\underline{s})d                          	SB(rs)d                                      	 7.0	 1.00	SB(rs)d                                                  	F	036.58950	-24.28992
PGC 9354  	Im                                           	Im pec                                       	10.0	     	Im pec                                                   	 	036.88654	-10.16565
NGC 936   	(L)SB_a(\underline{r}s,bl)0^+^               	(L)SB(\underline{r}s)0^+^                    	-1.0	 1.00	(L)SB_a_(\underline{r}s,bl)0^+^                          	 	036.90609	-01.15628
UGC 1945  	SB(s)m / Sph                                 	Im (cc) / Sph                                	 9.5	 1.00	S/Im (cc) / Sph                                          	 	037.05157	-01.34898
NGC 941   	(R':)S\underline{A}B(r:)c                    	(R')SA(s)c                                   	 5.0	 0.12	(R')SA(rs)c:                                             	F	037.11603	-01.15156
UGC 1970  	Sd: sp                                       	Scd sp / E(d)8                               	 6.5	     	Sc\underline{d}: sp / E(d)8                              	 	037.47508	+25.25641
UGC 1981  	dE / dI?                                     	dIm                                          	10.0	     	dIm                                                      	 	037.57179	+00.93653
NGC 955   	SB_x0^+^                                     	SAB_x0^+^                                    	-1.0	 0.75	SA\underline{B}_x_0^+^                                   	 	037.63796	-01.10848
PGC 9559  	SA(s)m                                       	SA(s)dm:                                     	 8.5	 0.00	SA(s)d\underline{m}:                                     	F	037.67208	-03.81194
UGC 1999  	Sm sp                                        	Sdm sp                                       	 8.5	     	Sd\underline{m} sp                                       	 	037.96750	+19.15310
ESO 355-26	SA(r)bc                                      	SA(\underline{r}s)bc                         	 4.0	 0.00	SA(r)bc                                                  	M	038.07295	-35.03018
NGC 986A  	dIm                                          	Im                                           	10.0	     	Im                                                       	 	038.16958	-39.29750
NGC 986   	(R')SB(rs,nr:,nb)ab                          	(R')SB(s,rs,np)ab                            	 2.0	 1.00	(R')SB(s,rs,np)ab                                        	G	038.39312	-39.04506
NGC 988   	SB(s)d                                       	SB(s)d                                       	 7.0	 1.00	SB(s)d                                                   	F	038.86554	-09.35600
NGC 991   	SAB(s)c                                      	SAB(ls)cd                                    	 5.5	 0.50	SAB(s)\underline{c}d                                     	F	038.88620	-07.15442
UGC 2081  	S ,N                                         	SA(s)bc:                                     	 4.0	 0.00	SA(s)bc:                                                 	F	039.00388	+00.41999
UGC 2082  	SBd sp                                       	Scd sp / E8                                  	 6.5	 1.00	SB:c\underline{d} sp / E8                                	 	039.06730	+25.42382
ESO 115-21	SB(s)m sp                                    	SAB(s)m sp                                   	 9.0	 0.75	SA\underline{B}(s)m sp                                   	 	039.45651	-61.33160
NGC 1015  	SB(r)0/a                                     	(R')SB(r,bl)0/a                              	 0.0	 1.00	(R')SB(r,bl)0/a                                          	 	039.54819	-01.31862
NGC 1022  	(RL)SAB(\underline{r}s)0/a                   	(RL)SAB(\underline{r}s,bl,ns)0^+^            	-0.5	 0.50	(RL)SAB(\underline{r}s,bl,ns)\underline{0}/a             	G	039.63626	-06.67739
IC 1826   	Im (cc) / Sph                                	Im (cc) / Sph                                	10.0	     	Im (cc) / Sph                                            	 	039.76477	-27.44311
NGC 1032  	S0^-^ sp                                     	S0^-^ sp/ E(d)7                              	-3.0	     	S0^-^ sp / E(d)7                                         	 	039.84867	+01.09380
NGC 1035  	SAB(s)c                                      	SAB(s)cd                                     	 5.5	 0.50	SAB(s)\underline{c}d                                     	F	039.87140	-08.13364
NGC 1042  	SAB(s)c                                      	SAB(s)c                                      	 5.0	 0.50	SAB(s)c                                                  	M	040.09990	-08.43365
NGC 1036  	IB(s)m                                       	IBm                                          	10.0	 1.00	IB(s:)m                                                  	F	040.12076	+19.29708
NGC 1047  	dSB0,N                                       	dSAB0^o^,N                                   	11.0	 0.75	dSA\underline{B}0^o^, N                                  	 	040.13670	-08.14754
NGC 1051  	SAB(s)m                                      	SAB(s)c:                                     	 7.0	 0.50	SAB(s)d:                                                 	F	040.26025	-06.93586
NGC 1052  	E2                                           	E1                                           	-5.0	     	E1-2                                                     	 	040.26999	-08.25576
